One unit of length is 1e-10 meters
One unit of velocity is 997.765 meters/second
One unit of time is 1.00224e-13 seconds
One unit of mass is 1.66054e-27 kg
One unit of temperature is 119.735 K
One unit of pressure is 1.65313e+09 Pa
[-nan, -nan, -nan]
[0.222399, 0.462396, 0.57745]
[0.190685, 0.430682, 0.640879]
[0.190685, 0.430682, 0.640879]
[0.127256, 0.525825, 0.545736]
[1.01658, 0.144589, 0.1645]
[1.01233, 0.144589, 0.177271]
[1.01233, 0.144589, 0.177271]
[1.01233, 0.144589, 0.177271]
[1.01233, 0.144589, 0.177271]
[1.13919, 0.0177315, 0.0504138]
[0.814519, 0.810262, -0.299108]
[0.814519, 0.806005, -0.286336]
[0.489853, 0.481339, 0.472825]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[0.186428, 0.426424, 0.952757]
[0.186428, 0.426424, 0.952757]
[0.186428, 0.426424, 0.952757]
[0.154713, 0.458139, 0.889329]
[1.04404, 0.108617, 0.41295]
[1.01233, 0.140332, 0.476379]
[1.01233, 0.140332, 0.476379]
[1.01233, 0.140332, 0.476379]
[1.01233, 0.140332, 0.476379]
[1.04404, 0.108617, 0.41295]
[0.782805, 0.837719, -0.0634287]
[0.814519, 0.806005, 1.01308e-15]
[0.871089, 0.862575, -0.130168]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
